,14517X2,14517X5,14517X4,14517X3,14517X12,14517X8,14517X10,14517X6,14517X1,14517X7,14517X11,14517X9
YKR050W,0.019569974929142864,0.0193222262388032,0.023072493830852435,0.015954787778526987,0.028179174832322126,0.023168895397300233,0.028037786024250777,0.018789083885810305,0.022903528199309613,0.024254136080582002,0.028058815551507837,0.022852446941999793
YKR051W,0.02531711804366611,0.024625845601888015,0.026723303836750763,0.02388361689626206,0.022584656562881444,0.025410268407992802,0.024010443468705588,0.024694285318128267,0.03134249441572505,0.027309806641325495,0.024428812871053883,0.025847778130534516
YKR052C,0.031061085583054697,0.05883964529605385,0.05684271171566803,0.023606247106697,0.07264269580475008,0.06279118778654193,0.07186648382166713,0.054297689329420334,0.0324545069549768,0.06134532252608332,0.07932179238130437,0.06193748362946882
YKR053C,0.010832055503229937,0.011570549103908798,0.011148290120469561,0.008924526333888412,0.14074329732828167,0.02666900828972387,0.1888816611688511,0.009554627623511187,0.01360960180228794,0.0296415211264913,0.1626343856636976,0.022579990662051314
YKR054C,0.010186294774567662,0.01057555084124827,0.011325478560354946,0.011612997149987939,0.013193111048498012,0.011014661116215229,0.012202923482894755,0.010060055320182369,0.01121466290369076,0.01127270690482299,0.011727759539252156,0.010966188130508007
YKR055W,0.006911498100941491,0.011965789332308085,0.012703128532891062,0.008210966232868055,0.014485584325882131,0.01078959089324002,0.010066992624986332,0.012812229752201898,0.007133602421284941,0.008857234586375837,0.009316244338156846,0.012506176295255834
YKR056W,0.03726386495609016,0.037497484147456905,0.034731280728206644,0.04114966206993097,0.035858629108209514,0.043330428464999966,0.032770110628475256,0.03428294004188119,0.03362624433128442,0.035689737256072315,0.03728435591599328,0.0404893234235443
YKR057W,0.7342082024442653,0.4568731878458637,0.39432719721368115,0.9191225593552698,0.2918384421563431,0.3392518056466827,0.2834923685916466,0.5247373594109356,0.6857323994289674,0.34043053742162405,0.28767523771215026,0.35414956384518276
YKR058W,0.052321754218697565,0.018168630824319597,0.022165685526501007,0.012729128124988224,0.016807738453069845,0.016882886025786036,0.02724997083814123,0.015671157052280008,0.06445535944073293,0.021486723902927166,0.022904102195990893,0.0153474623661664
YKR059W,0.2533496022626365,0.24477603764032985,0.24630633352475795,0.2539074223899242,0.1866858618094601,0.23534795135879794,0.1516231340305686,0.2387654367395403,0.26565797493656584,0.22492660192091696,0.17737741043003208,0.24374965514978073
YKR060W,0.03089846209832666,0.03274000845881943,0.02773084672620539,0.03586059671138075,0.039856617538532826,0.05403862329723573,0.02885111076009967,0.03718058830050747,0.02575754520236254,0.04406288130365123,0.03418043931125444,0.056653277891581325
YKR061W,0.0177811228676204,0.04659368941647463,0.05073581245285914,0.022596350266089714,0.058994817149546394,0.04873536209633818,0.05718807654912749,0.04838637445108847,0.017153625755014387,0.046454743044510215,0.0593432452123404,0.04627690219637275
snR42,2.1745030150517684,2.108352566441405,1.4958698798886605,2.1436491895325056,2.3497773965107487,1.7584676455216328,3.1268096551141,2.167990250536971,2.121702024561812,2.084114307698282,2.574082026513669,1.7137045774192479
YKR062W,0.045728905674153754,0.048776615981362556,0.0483721189417121,0.04221375794724472,0.06113722796211888,0.0504871422928967,0.05451206310009006,0.0466533215485423,0.050121915003842575,0.05258139710564641,0.06018176656985949,0.05720264301052999
YKR063C,0.02231970028927894,0.025099009676980553,0.021771436172942315,0.02359404591940836,0.027279939816933985,0.026660518170452403,0.024128657871965643,0.028009333613260946,0.019267834102276976,0.023985860756540314,0.02757608324094426,0.031262781304575375
YKR064W,0.015184664484456526,0.018702842805273474,0.018209983146032668,0.016197349286579565,0.022836933882644024,0.01902403488837942,0.019104943927268025,0.019722150414766507,0.016198349211727872,0.022086975958277976,0.01938557493505186,0.02184433552918107
YKR065C,0.08846717569205108,0.10295860277628177,0.10688749913227862,0.08563083017365931,0.10176023772601198,0.11566441437553301,0.10416448577672816,0.10804819264234265,0.08752700054709484,0.11812401699261323,0.10244514924010793,0.12576409656172238
YKR066C,0.12684631808786734,0.15142966643143965,0.16189216760743547,0.11055038257713734,0.05374542165498751,0.07033214804482384,0.045302897189338893,0.16033641537556365,0.13288985358107785,0.07606286886769176,0.055152166481888525,0.08940917310889562
YKR067W,0.021061536799714446,0.035060426569678074,0.035709211415791454,0.015556922744483191,0.03358331960950591,0.03140440335698042,0.03833603577482109,0.0332569419070309,0.02589206585553997,0.03335759347483039,0.03423087935429516,0.028304867970059457
YKR068C,0.07822904443922785,0.08468822540095396,0.07801690865662442,0.07764011004756403,0.10020631373048132,0.093430743119485,0.11062244471122104,0.09199940716944974,0.07460148277128706,0.08915201347527209,0.09697084216595783,0.08863266664268935
YKR069W,0.010663454212881156,0.01669989683591372,0.017332962933818308,0.009401108182330753,0.02271527525880292,0.024309608869667314,0.025858682883957793,0.01796178901879733,0.009591619213451195,0.024077217283780847,0.023918031382451653,0.02381497790642473
YKR070W,0.055042171623160545,0.06592270011544289,0.07001329986583552,0.053287307336982316,0.06377817017025211,0.0667308031148178,0.06274969022694467,0.0637242658539841,0.05771942904829282,0.06624547474442008,0.0666145143350521,0.0666051428513314
YKR071C,0.09364480663934598,0.190048312641852,0.1916617059571036,0.09041886434521916,0.11798140816851975,0.1278951120909684,0.09016625030568307,0.19384674916757105,0.09462520320348977,0.1175321466552305,0.10863064005030933,0.14496689628349838
YKR072C,0.08226912255636805,0.05530484010530959,0.05698927784747823,0.057946445682031514,0.08218312733539579,0.07488904216759605,0.08039898471873727,0.05337779224213146,0.09077342061257325,0.07517538172235835,0.08645324483804098,0.07769806003388809
tK(UUU)K,0.006059395595345964,0.009369150872571508,0.007203996639018592,0.0,0.004827622023412773,0.0031531224528190014,0.007099058527685418,0.009148596552619051,0.006220492905288974,0.0015961896119130884,0.0045330547793333035,0.0040299317972193344
