	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
YOR123C	208	143	126	116	157	170
YOR124C	1877	1345	1173	1475	1341	1292
YOR125C	610	462	385	521	519	468
YOR126C	237	211	215	401	338	310
YOR127W	1240	892	933	1743	1569	1454
YOR128C	1120	764	346	484	419	388
YOR129C	139	144	175	250	286	278
YOR130C	322	245	170	246	216	235
tD(GUC)O	3	1	1	2	0	0
YOR131C	371	280	278	451	418	398
YOR132W	1460	1136	819	1803	1573	1397
YOR133W	5241	4218	4107	3393	3232	2812
YOR134W	326	273	273	831	550	481
YOR136W	2620	2087	1954	4759	4673	4026
YOR137C	720	521	480	779	654	559
YOR138C	757	546	549	1222	1165	1118
YOR140W	300	216	248	386	396	443
YOR141C	835	645	601	957	905	841
YOR142W	1818	1451	1086	1838	1649	1551
tG(CCC)O	0	0	0	1	2	3
YOR143C	169	180	212	230	247	268
YOR144C	252	221	293	409	381	443
YOR145C	1227	1050	1019	1024	1271	1168
YOR147W	676	483	397	726	657	577
YOR148C	152	124	119	205	222	193
YOR149C	486	366	372	520	468	491
YOR150W	451	358	316	385	370	359
YOR151C	4387	3357	4008	4414	4467	4507
YOR152C	130	82	86	273	282	241
YOR153W	10051	7767	8345	7035	6184	6336
YOR154W	355	289	342	435	435	438
YOR155C	832	651	495	684	640	528
YOR156C	345	306	274	367	328	382
YOR157C	2068	1590	1497	1745	1790	1608
YOR158W	575	422	356	418	389	345
YOR159C	187	158	149	123	164	150
YOR160W	528	402	499	599	579	567
YOR161C	775	549	205	382	229	214
YOR161C-C	3	1	1	3	5	11
YOR162C	481	383	315	774	622	614
YOR163W	451	346	316	310	334	292
YOR164C	1176	953	927	914	966	877
YOR165W	1604	1257	1202	1391	1207	1139
YOR166C	455	370	410	440	403	429
YOR167C	7239	6236	7500	4090	3594	3370
YOR168W	6830	5838	6088	4567	4318	3955
YOR171C	1065	836	753	755	765	618
YOR172W	695	559	500	565	566	523
YOR173W	515	333	114	802	617	522
YOR174W	372	348	330	438	399	350
YOR175C	2163	1751	1721	3070	2766	2755
YOR176W	1493	1313	1094	649	666	677
tV(AAC)O	0	1	0	0	1	0
YOR177C	55	50	33	116	102	83
YOR178C	235	159	33	151	68	65
YOR179C	217	194	227	192	224	209
YOR180C	83	56	70	114	129	104
YOR181W	353	243	183	307	352	332
YOR182C	5002	4470	4585	2369	2020	1832
YOR183W	2	1	0	5	4	3
YOR184W	3744	3195	2715	2576	2755	2518
snR36	137	98	119	132	95	90
YOR185C	383	288	205	1047	887	763
YOR186W	30	36	14	70	50	60
YOR187W	3276	2531	2216	2291	2297	2105
YOR188W	466	357	406	517	531	605
YOR189W	414	324	304	445	440	389
YOR190W	25	26	29	43	32	25
YOR191W	1337	1089	1066	1668	1524	1561
YOR192C	63	53	53	68	56	60
YOR192C-C	12	3	1	12	9	18
tM(CAU)O1	0	0	0	2	2	4
YOR193W	159	128	136	305	290	268
YOR194C	122	122	116	111	143	124
YOR195W	530	426	437	704	757	717
YOR196C	754	564	533	304	320	248
YOR197W	2974	2496	2253	3579	3873	3354
YOR198C	4512	3455	3069	3219	3206	2980
YOR201C	464	362	368	344	400	356
YOR202W	782	542	522	363	478	488
YOR204W	9473	7637	7090	6692	6897	6938
YOR205C	334	295	313	448	461	430
YOR206W	2838	2296	2363	2093	2222	2109
YOR207C	1935	1542	1586	2186	1892	1728
YOR208W	948	702	452	1605	1408	1212
YOR209C	3776	3149	3023	4322	4114	3657
YOR210W	863	710	775	843	944	972
YOR211C	705	512	509	823	730	728
YOR212W	1373	1125	1106	878	797	770
YOR213C	384	321	307	453	419	332
YOR214C	3	0	0	6	9	5
YOR215C	684	539	338	724	607	561
YOR216C	920	679	616	720	821	761
YOR217W	804	692	727	800	811	796
YOR219C	1546	1209	1199	2332	2096	1928
YOR220W	1690	1398	1377	3298	2843	2568
YOR221C	860	678	474	595	592	524
YOR222W	638	441	559	554	566	576
snR35	3086	3589	4108	5622	2778	2331
YOR223W	113	105	72	166	127	147
YOR224C	1738	1427	1500	1172	1260	1185
YOR226C	758	657	708	1691	2149	1944
YOR227W	898	598	380	1180	1063	1009
YOR228C	422	344	189	305	256	198
YOR229W	773	596	636	960	918	905
YOR230W	6323	5380	4452	3669	3670	3534
YOR231W	580	479	463	690	714	671
YOR232W	2743	2280	2084	1605	1441	1359
YOR233W	448	350	523	760	815	750
YOR234C	5587	4960	5130	3140	3142	2805
snR17a	89696	87617	69108	142440	109049	91380
YOR236W	287	238	237	141	162	125
YOR237W	42	54	44	2148	2088	2079
YOR238W	260	240	254	332	342	375
YOR239W	1888	1577	1442	1611	1458	1379
YOR241W	867	688	752	662	715	705
YOR242C	21	22	39	56	50	63
YOR243C	2167	1683	1879	1654	1633	1641
YOR244W	501	416	442	744	655	631
YOR245C	674	518	472	917	808	757
YOR246C	1063	941	925	676	698	723
YOR247W	726	509	416	226	302	330
YOR249C	314	273	254	297	270	260
YOR250C	497	363	288	436	415	408
YOR251C	733	627	641	704	728	640
